,Unnamed: 0,issuekey,title,description,storypoint,project
15678,17227,XD-2606,add support to track history in message headers,as a user id like to have an option to track history so that i get the visibility of stream name module name etc added as part of the message header,3,springxd
15681,17230,XD-2609,error when listing streams in adminui,as a user im trying to list streams in adminui to use the pagination however i ended up with blank page and the serverside errored with _javalangillegalstateexception_ version 110 snapshot distributed 1 admin and 2 containers steps to reproduce 1 deploy the following streams stream create foo1 definition time log deploy stream create foo2 definition time log deploy stream create foo3 definition time log deploy stream create foo4 definition time log deploy stream create foo5 definition time log deploy stream create foo6 definition time log deploy stream create foo7 definition time log deploy stream create foo8 definition time log deploy stream create foo9 definition time log deploy stream create foo10 definition time log deploy stream create foo11 definition time log deploy stream create foo12 definition time log deploy stream create foo13 definition time log deploy stream create foo14 definition time log deploy stream create foo15 definition time log deploy stream create foo16 definition time log deploy stream create foo17 definition time log deploy stream create foo18 definition time log deploy stream create foo19 definition time log deploy stream create foo20 definition time log deploy stream create foo21 definition time log deploy stream create foo22 definition time log deploy 2 go to streams tab in adminui to get a blank page and the following exception in admin logs error 165519107 110snap error httpnio9393exec2 restrestcontrolleradvice caught exception while handling a request javalangillegalstateexception not all instances were looked at orgspringframeworkutilassertstate orgspringframeworkxddirtrestxdcontrollerenhancewithdeployments orgspringframeworkxddirtrestxdcontrollerlistvalues orgspringframeworkxddirtreststreamscontrollerlist,1,springxd
15686,17235,XD-2614,add protobuf codec implementation,as a user id like to have googles protocol buffer codec option so that i can serializedeserialize objects based on its native specifications,5,springxd
15700,17254,XD-2635,update partitioncolumn wiki to include mutual exclusiveness of sql and tablename options,as a user id like to refer to the wiki so that i can create a job with partitions that in turn expects _tablename_ and _columns_ be explicitly included in the job definition it is also beneficial to callout _sql_ and _tablename_ metadata options are mutually exclusive following logic in _jdbchdfsoptionsmetadata_ needs documented codejava asserttrue when using partition column boolean ispartitionedwithtablename if return stringutilshastext stringutilshastext else return true code,1,springxd
15701,17255,XD-2636,add support to either use sql or tablename options for partitioned jobs,as a user id like to either use _sql_ or _tablename_ options so that i can build a partitioned job with _where_ clause and strict tablecolumn combo respectively,5,springxd
15712,17271,XD-2652,document migration strategy for custom modules,as a user id like to migrate from 10 to 11 and be able to port my custom modules so that i can operationalize existing data pipelines and also take advantage of latest xd features,2,springxd
15716,17275,XD-2656,create a sample to invoke pig scriptjob from xd,as a user id like to refer to a pig scriptjob sample so that i can use that as a reference to integrate pig jobs in xd,5,springxd
15720,17279,XD-2661,add build support for xd in windows,as a user id like to build xd in windows machine so that i can develop test and contributed to oss,5,springxd
15731,17290,XD-2673,create a smple to invoke hive query from xd,as a user id like to refer to hive sample so that i can use that as a reference to integrate hive to query and analyze,2,springxd
15741,17303,XD-2686,update log4j properties to include date in the logs,as a user id like to see the date in logs so that i can troubleshoot issues that had occurred on a specific day and time property that needs adjusted,1,springxd
15771,17334,XD-2718,add a separate clean admin command to cleanup queuestopics,as a user id like to clean up message bus resources associated with the stream so that when the stream is destroyed so does the coupled queuestopics,3,springxd
15772,17335,XD-2719,invoke rabbit restapi to cleanup resources,as a user id like to cleanup stale queuestopics associated with the stream so when the stream gets destroyed i can cleanup resources,3,springxd
15777,17340,XD-2724,add support to edit deployedundeployed stream,as a user id like to have the option of editing the deployedundeployed stream so that i dont have to destroy to just change any deployment property,8,springxd
15783,17346,XD-2730,add support to include deployment manifest from file,as a user id like to include the deployment manifest from the file so that i dont have spend time typing as inline properties,3,springxd
15790,17353,XD-2737,add support for global wiretap config,as a user id like to have an optional _trace_ as inline deployment properties for _stream_ so that i can declare which _module_ in the stream needs to be traced for logging or notifications this gives the flexibility to track the stage progress between individual modules example codexml xd stream create foo http log xd stream deploy foo properties modulehttptracemodulelogtrace xd stream deploy foo properties moduletrace code wildcard wiretap config httpdocsspringiospringintegrationreferencemessagingchannelssectionchannelglobalwiretap,8,springxd
15791,17354,XD-2738,add arbitrary side channels to track module progress,as a user id like to have an optional arbitrary side channels created so that when creating a module channels other than the primary stream channels could be added to the bus the optional side channels can be used to tracetrack module progress,8,springxd
15805,17374,XD-2758,add module description to the json response,as a user id like to have the description for each of the modules so that i can use it to understand the module purpose and its capabilities,3,springxd
15813,17382,XD-2766,add metadata for description of a module,as a user id like to have the description for each of the modules so that i can use it to understand the module purpose and its capabilities,8,springxd
15847,17421,XD-2805,add support to include namenode address from a config file,as a user id like to add the hadoop _namenode_ specifics in a config file so that i dont have to incur the hassle of pointing to the _namenode_ location every time i open a new dsl session but it is automatically configured,3,springxd
15857,17431,XD-2815,improve the performance of jdbchdfs batch job,as a user id like to use a _jdbchdfs_ batch job as a passthrough so that i dont have to incur the batch readwrite overhead,2,springxd
15884,17460,XD-2844,create a poc for gpfdist sink,as a user id like to have the ootb _gpfdist_ sink module so i can use this module to do ultra fast data movement from various sources into gpdbhawq,8,springxd
15909,17485,XD-2869,error when creating job from ui with security,as a user i logged in with role_create and i get an error while trying job creation from admin_ui i can create job from the shell successfully trying the same workflow with role_admin results with the same error as well i dont see anything in the admincontainer logs about the error itself,1,springxd
15922,17498,XD-2882,provide an option for hdfs sink to use syncable writes,as a user id like to have an option to have the hdfs sink use syncable writes to provide better resiliency in the case of sinkcontainer failures im willing to accept the performance penalty if i choose this option,3,springxd
15923,17499,XD-2883,provide an option for hdfs sink to not use tmp extension,as a user id like to have an option to have the hdfs sink not use a temporary inusesuffix like tmp instead we should write using the filename specified directly this could be useful if we use syncable writes and the sink fails while the file is open without this new option the user would have to explicitly rename the file,5,springxd
15927,17504,XD-2888,add a gradlemaven target to upload the custom module jar,as a user id like to also have the capability to upload the custom module through mavengradle targets so i can automate the installation of custom module fragments,2,springxd
15928,17505,XD-2889,add support for custom module versioning,as a user id like to have the option to version the custom modules so i can evolve the custom module fragments in increments and be able to rollout upgrades seamlessly,5,springxd
15929,17506,XD-2890,add support to ready files line by line,as a user id like to have the option to read the file line by line so i get the optional ootb optimum file reading experience,8,springxd
15935,17512,XD-2896,add support to capture errorsstacktrace via dlq,as a user id like to have the configuration option to use an alternative dlq so i can publish the message this time with additional headers including one that contains the exception,3,springxd
15936,17513,XD-2897,add support to consume database changes as event streams,as a user id like to have the ootb module to consume database changes as event streams so i can incrementally synchronize with realtime db updates with various destinations such as brokers hadoop db etc,8,springxd
15943,17520,XD-2904,upgrade to boot 123 release,as a user id like to upgrade to spring boot 123 release do i can leverage the latest improvements and bug fixes we should also syncup the following dependency updates to synchronize with boot code 113 251 800 14185 153 123final 27 1921 5111 277 201 8021 185 243 131 929v20150224 144 321 2322 206 332 11019 mongodbversion2130 1711 111release 401release 262 221release code,1,springxd
15968,17547,XD-2933,parameterize import options for sqoop,as a user id like to parameterize all import options so i can eliminate the need for args option since it gets confusing,2,springxd
15969,17548,XD-2934,parameterize codegen options,as a user id like to parameterize codegen options so i can generate code on the fly as needed,5,springxd
15970,17549,XD-2935,parameterize merge options,as a user id like to parameterize merge options so i can incrementally consume the delta with the help of megastore,5,springxd
15971,17550,XD-2936,add timeout for sqoop jobs,as a user id like to have an option to specify _timeout_ so i can expect the job to not run forever if it is in hung state,3,springxd
15973,17552,XD-2938,sqoop unable to create job using merge command,as a user i need to use xd sqoop module to support the merge command currently the sqooprunner createfinalarguments method forces the requirement for connect username and password options which are not valid for the merge option a check of the module type to not force these options being assigned to sqoop arg list would be preferred,5,springxd
15977,17556,XD-2943,sql script processor,as a users i would to be able to execute sql statementscript via a processor or job statement,3,springxd
15979,17558,XD-2945,externalized rowmapper from the namedcolumnjdbcitemreader,as a user i want to be able to provide my own rowmapper implementation to enrich the jdbc data my use case requires me to add timestamp field and a delete flag field to records before they get written to hdfs to do it i have to implement a itemreaderfactory and perhaps extend namecolumnjdbcitemreader this is to override the afterpropertyset method to change the default implementation otherwise i have to write my own processor that can add these fields to tuples and since tuples are immutable i would have to recreate the tuples with additional fields in the processor for large load this could be big overhead i would love to know any other technique to implement such a use case,1,springxd
15980,17560,XD-2947,add support for expressions and dynamically evaluate at runtime,as a user id like to have the ability to use expressions so i can dynamically name directoriesfiles based on the timestamp or other intermediate data point,5,springxd
16001,17582,XD-2971,document the use of properties file as deployment manifest,as a user id like to refer to the documentation to configure the properties file so i can use it as recommended to represent the deployment manifest,1,springxd
16003,17584,XD-2973,run the sqoop job against secured cluster,as a user id like to run the sqoop jobs against secured hdfs cluster so i can restrict access to only authorized users,3,springxd
16008,17589,XD-2979,submit java receptor client for cf incubation,as a user id like to use the java receptor client so i can interact with diego runtime using the java receptor rest apis,8,springxd
16009,17590,XD-2980,create boot based modulerunner,as a user id like to use bootbased modulerunner for use in containermanaged environments so i can run xd without _xdcontainers_ scope complete the remaining deployment properties work,8,springxd
16017,17599,XD-2990,spike research the stream support for reliable hdfs writes,as a user id like to have the option of reliable hdfs writes so i can get acknowledgement of actual hdfs _commits_ as opposed to just from the message bus,5,springxd
16019,17601,XD-2992,add support for multiple topics in kafka source,as a user id like to consume multiple topicpartitions so i can have the option to consume from multiple data endpoints and still be able to serve the data via single queue,3,springxd
16030,17612,XD-3003,add support for using sqoop metastore,as a user id like to have the option to change the default sqoop _metastore_ so i can implement a db of my choice and not tied to default specifications refer to this threadhttpstackoverflowcomquestions24078668howtochangesqoopmetastore for more details,1,springxd
16045,17628,XD-3019,document how to use the module registry backed by hdfs,as a user id like to refer to the documentation so i can configure hdfs backed module registry as recommended,1,springxd
16046,17629,XD-3020,persist deployment properties,as a user i would like the ability to undeploy or suspend a module without losing the deployment properties currently when temporarily suspending a module an undeploy and redeploy is executed during the redeploy the deployment properties need to be added again instead it would be nice if the properties are persisted so they automatically included with the deployment,5,springxd
16049,17633,XD-3024,add new restapi to get all the counters gauges and richgauges,as a user id like to have a restapi to get all the _counters_ _gauges_ and _richgauges_ in a single request so i dont have to issue multiple request to fetch each one of the metrics by nameid for custom dashboards example code metricscountersall metricsgaugesall metricsrichgaugesall code,5,springxd
16061,17646,XD-3037,create documentation for kafka source multiple topic support,as a user i want to have a documentation that shows how to configure multiple topics with kafka source module,1,springxd
16063,17648,XD-3040,create boot based modulerunner,as a user id like to use bootbased modulerunner for use in containermanaged environments so i can run xd without _xdcontainers_ scope,5,springxd
16065,17651,XD-3043,document gf specific configuration properties,as a user id like to use the gf source along with native gf authentication enabled so i can consume data from gf in a secured way id like to refer to documentation on where the gf specific native and security properties needs configured see this sc post for more details,1,springxd
16066,17652,XD-3044,add jdbcgpfdist batch job,as a user id like to have an ootb _jdbcgpfdist_ batch job so i can read from jdbc and write to hawqgpdb using _gpfdist_ protocol the scope is to reuse the existing gpfdist sink code and adapt it to fit the batch model,8,springxd
16089,17675,XD-3068,provide configuration option to specify the default output channel for router sink,as a user i would like to specify the default output channel when the channel name resolution doesnt occur in cases where i wont prefer to lose the data and like to investigate the messages from errorchannel or that sort,2,springxd
16097,17683,XD-3076,add ssl properties to the mail source,as a user id like to use the _mail_ source to connect to secured imap andor smtp mail servers _mail_ source config file requires a bean provided to the adapter via the javamailproperties attribute ref examplehttpdocsspringiospringintegrationdocslatestgareferencemail codexml javaxnetsslsslsocketfactory false imaps false code list of all javamail properties,1,springxd
16113,17702,XD-3097,provide defaults for xdshell,as a user id like to have shell to automatically configure itself against an environment i have setup this really came up with ambari work where shell can be anywhere in a cluster best i was able to do for now is to build an init file for commands code cat etcspringxdconfxdshellinit admin config server httpambari2localdomain9393 hadoop config fs namenode hdfsambari2localdomain8020 code and then run those after starting xdshell code serverunknownscript file etcspringxdconfxdshellinit admin config server httpambari2localdomain9393 successfully targeted httpambari2localdomain9393 hadoop config fs namenode hdfsambari2localdomain8020 script required 0662 seconds to execute xd code,1,springxd
16114,17704,XD-3099,spike support graceful shutdown of modules in a stream,as a user id like to have the option to gracefully shutdown the stream so when it is _undeployed_ while in the middle of its operation we would want to complete its journey to the sink before xd stops the stream use case one of the streams has a custom module that performs archive extraction when this stream is undeployed while in the middle of extraction it looks like the message goes to the dlq however we would like the message to complete its journey to the sink of the queue before xd stops the stream is this possible,8,springxd
16129,17723,XD-3118,update rpm script to include number of containers to be started,as a user id like to start multiple instances of xdcontainers through the rpm scripts so i can easily spinup instances on the same nodevm,2,springxd
16137,17732,XD-3127,create a landing section for ootb batch jobs,as a user id like to refer to ootb batch jobs and the documentation so i can jump to the right job section and review details,1,springxd
16148,17743,XD-3139,document the new analytics tab features,as a user id like to refer to the analytics tab docs so i can understand how to use various widgets from streaming pipeline,2,springxd
16149,17744,XD-3140,create a landing page with links for all ootb modules,as a user id like to have a landing page with higherorder links for sources processors sinks and jobs so i can jump to right section from one place,1,springxd
16177,17773,XD-3170,update spark streaming documentation,as a user i need to know the spark streaming features like adding tap at the spark module output and the examples need to be updated the documentation also needs some more information on reliable receiver,1,springxd
16180,17776,XD-3173,improve user experience on http shell commands,as a user id like to be able to understand the root cause of an error on the http shell command when an exception occurs on an http shell command the user gets failed to access http endpoint s target no information from the exception is conveyed to the user,1,springxd
16198,17794,XD-3192,spike investigate boot export metrics and the xd fit,as a user id like to have the moduleapp specific metrics consumed directly from boot actuator export api so i can have insight on how it is performing being used and that it works etc,8,springxd
16206,17802,XD-3200,module delete command on windows does not delete the module entirely,as a user im trying to delete the custom module using the module delete command via shell though the command is successfully im still seeing the associated artifact present in the custom_modules folder refer to so threadhttpstackoverflowcomquestions30984922springxdmoduledeletecommanddoesnotdeletetheuploadedjarfile for more details,5,springxd
16211,17807,XD-3205,investigate the steps to ambari upgrade spring xd,as a user id like to upgrade spring xd from 12 rc to 12 ga using the ambari plugin so i can work on the latest release bits id like to refer to the documentation to do so,1,springxd
16217,17813,XD-3211,hdfstextitemwriter does not work with hadoop localfilesystem fsurifile,as a user i would like to use fsuri file to use hadoop localfilesystem instead of a running cluster in my use case my data scientist team requested to provide me a local csv of data that is being loaded using jdbchdfs job the quickest way to solve this was to change the fsuri to file and it should have just worked this will work alright for singlenode setups for multiple containers hosted on multiple machines will split the file across different machines but then i believe it is fair to assume that the developer must know what he is doing,1,springxd
16221,17817,XD-3215,add a way to specify system properties for sqoop job,as a user id like to have the option to specify system properties that will be passed in to the sqoop job which runs in its own java process this is needed for defining memory usage and also for defining some options for various connector implementations,5,springxd
16223,17819,XD-3217,cannot connect to admin server with basic security enabled,as a user im trying to connect to xdadmin server with basic security enabled however im unable to successfully connect to the server and i get the following error message codejava serverunknownadmin config server uri httplocalhost9393 username bob password bobspwd unable to contact xd admin server at httplocalhost9393 code,5,springxd
16228,17824,XD-3222,find a way to connect sqoop job to teradata,as a user i would like to connect the sqoop batch job to teradata for import jobs i have tried the teradata jdbc driver directly using codejob create tdtest definition sqoop commandimport argstable frequent_flyers connect jdbcteradatatdexpressdatabasetransportation driver comteradatajdbcteradriver username dbc password dbc targetdirxdteradata nummappers 1 code but that results in an npe the only way so far is to use the hortonworks connector for teradata httppublicrepo1hortonworkscomhdptools2242hdpconnectorforteradata13422422distrotargz that one allows me to use the following codejob create tdtest definition sqoop commandimport argstable frequent_flyers connect jdbcteradatatdexpressdatabasetransportation connectionmanager orgapachesqoopteradatateradataconnmanager username dbc password dbc targetdirxdteradata nummappers 1 code,3,springxd
16229,17825,XD-3223,configure logging directory outside of xdhome,as a user i would like to be able to configure the logging directory to be outside of what is defined as xdhome the logging directory is currently hard coded as codexdhomelogscode this would be useful for rpm installations where the logs really should be going to varlogsspringxd instead of the current optpivotalspringxdxdlogs location,3,springxd
16285,17884,XD-3287,add ha support for namenode when installed using ambari,as a user im trying to setup ha cluster using ambari installed spring xd however im running into issues with the overrides more details here,5,springxd
16298,17897,XD-3303,update 13 installation instructions,as a user id like to refer to documentation while migrating to 13 release,3,springxd
16342,17942,XD-3353,add shell as a rest client to the springclouddata rest api,as a user i would like to have shell interface to the springclouddata rest api the scope for this jira could be limited to stream commands,5,springxd
16380,17981,XD-3397,port admin web ui to spring cloud data admin,as a user i should be able to use the existing admin ui client for springclouddata admin with the appropriate server configurations,2,springxd
16472,18081,XD-3501,admin ui container shutdown not working,as a user im not able to shutdown container from admin ui with the following stream definition deployed code stream create swagatatestissue definition jdbc queryselect employee_id employee_name employer from employee urljdbcoraclethinlocalhost1521orcl usernamespringxd passwordxdpwd driverclassnameoraclejdbcoracledriver testonborrowfalse hdfs inputtypeapplicationjson deploy code more details here,2,springxd
16590,18202,XD-3629,turning on ha via ambari plugin requires custom configuration,as a user id like to enable ha on namenode without having to enable custom configuration more details here,3,springxd
16592,18204,XD-3631,upgrade gf sink to 82,as a user id like to use the latest release of gemfire sink so i can create a streaming pipeline to land data in gemfire,2,springxd
16593,18205,XD-3633,add sftp source to default registry,as a user id like to use sftp source module so i can create streaming pipeline with it however i cannot see sftp as ootb module listed on module list and as well as the module bits are not available in maven repohttprepospringiolibssnapshotorgspringframeworkcloudstreammodule,1,springxd
16608,18221,XD-3649,make spel usage consistent across all including custom modules,as a user id like to use spel expressions inline at the stream definition level so i can operate on the payload consistently while using any ootb including the custom modules,8,springxd
16611,18224,XD-3653,admin ui does not load on master build,as a user i cannot use adminui on the master build it wont come up,2,springxd
16612,18225,XD-3654,documentation flo for xd batch,as a user id like to refer to job orchestration documentation so i can use it as guideline for building batch workflows,3,springxd
16620,18234,XD-3663,ui job modules page wouldnt load,as a user im trying to load job modules page in adminui but im seeing exceptions in console and the page wouldnt load code failed to convert value of type javalangstring to required type orgspringframeworkclouddataflowcoreartifacttype nested exception is orgspringframeworkcoreconvertconversionfailedexception failed to convert from type javalangstring to type orgspringframeworkwebbindannotationrequestparam orgspringframeworkclouddataflowcoreartifacttype for value job nested exception is javalangillegalargumentexception no enum constant orgspringframeworkclouddataflowcoreartifacttypejob code,2,springxd
16622,18236,XD-3665,ui task deployment page is not loading,as a user im trying to load task task deployment and task executions page but im seeing an error instead,1,springxd
16623,18237,XD-3666,ui spike study pui theming scope,as a user id like to use the adminui and flo with consistent look and feel,1,springxd
16625,18239,XD-3668,ui add spi type and version to about section,as a user id like to see the version and spi type in the about section so i can confirm which build of adminui im currently using,1,springxd
16626,18240,XD-3669,add flo screenshots to batch dsl section,as a user id like flo graphs as screenshots while referring to the batch dsl so it will be easy for me to relate to concepts,1,springxd
16628,18242,XD-3671,spike explore options to scale modules from shell,as a user id like to have direct shell commands to scale updown a given module instance so i can avoid spi specific cli commands that needs run outside of data flow,5,springxd
16640,18254,XD-3683,fix composed job error message,as a user im trying to compose a job just with one definition however im getting the following error message which could be misinterpreted code xdjob create salsa definition timestampfile successfully created job salsa xdjob create foo definition salsa salsa successfully created job foo xdjob create foo222 definition salsa command failed orgspringframeworkxdrestclientimplspringxdexception could not find module with name salsa and type job code,1,springxd
16641,18255,XD-3684,job composition fails for large transitions,as a user im trying to create a composed job with 20 stepstransitions using rabbit as the message bus and it doesnt complete successfully,3,springxd
16655,18269,XD-3698,execution list page includes child jobs in pagination scope,as a user i created a composed job with over 10 child jobs in the workflow i expected to see a job in the execution list page without any pagination but instead i noticed empty pagination to skip to next page,1,springxd
16663,18277,XD-3706,counter sink does not accept spel expressions,as a user im trying to use counter sink with spel expression but im not able to use them in combination it throws exactly one of name and nameexpression must be set as error message,1,springxd
16664,18278,XD-3707,job definitions request limits 20 results by default,as a user im trying to get all job definitions but the first 20 alone are returned job samples code job create aaa definition hello deploy job create bbb definition hello deploy job create ccc definition hello deploy job create ddd definition hello deploy job create eee definition hello deploy job create fff definition hello deploy job create ggg definition hello deploy job create hhh definition hello deploy job create iii definition hello deploy job create jjj definition hello deploy job create kkk definition hello deploy job create lll definition hello deploy job create mmm definition hello deploy job create nnn definition hello deploy job create ooo definition hello deploy job create ppp definition hello deploy job create qqq definition hello deploy job create rrr definition hello deploy job create sss definition hello deploy job create ttt definition hello deploy job create uuu definition hello deploy job create vvv definition hello deploy job create www definition hello deploy job create xxx definition hello deploy job create yyy definition hello deploy job create zzz definition hello deploy job create aaa1 definition hello deploy job create bbb1 definition hello deploy job create ccc1 definition hello deploy job create ddd1 definition hello deploy job create eee1 definition hello deploy code request httplocalhost9393jobsdefinitionsjson returns top 20 the other experiments with page size of either 0 or 1 still brings the top 20,1,springxd
16675,18289,XD-3718,kafka message bus must accept partitioning properties for named queues,as a user i want to be able to provide the partitioning logic for a named destination so that i can control the ordering of outbound messages,1,springxd
16825,18443,TDQ-4615,prepare dq portal migration script,as a user of the dq portal in previous version i will want to migrate my dq portal to the new version in order to keep of of my customizations done in the previous version,13,talenddataquality
17639,19462,TDQ-10734,support semantic discovery on file delimited,as a user i want to have the exact same semantic discovery menus on a table or a set of columns in a file delimited connection the behavior will be the same as on a database,8,talenddataquality
17978,19870,TESB-2359,make jmx samples work and align it with the other samples,as a user i want to be able to sucessfully execute the jmx samples when i was trying to execute the jmx samples according to the readme i encountered a lot of problems see below for the problems i found general endpoint in simpleclient is wrong defined is httplocalhost8080servicessimpleservice but in reality the service has the endpoint httplocalhost8080simpleservicesimpleservice in the war file below webinfclasses there are again directories classes metainf and webinf they shuld be removed the jmx sample should be splitted in one cxf sample and in one camel sample both located directly under examplestalendtesb with two different readme that describe how to build and run them readme in general all steps should be described for windows and unix building the simpleservicewar instead of suggesting to add the catalina_opts property in some tomcat start script it should be described how to define it in the shell the user should not be forced to change his tomcat configuration step 2 war file is not found in target but simpleservicewartarget step 4 you first have to change in directory simpleservicebundle before executing mvn execjava step 4 you should configure the exec plugin with the main class in pomxml so user does not have to specify it explicitly using jconsole to find mbean attributes step 2 servicejmxrmijndirmilocalhost6969jmxrmi does not work here i stopped trying out the samples expectations make sure the readme is up to date and complete so anyone is able to run the samples the readme must equally well describe the windows case and the linux mac os x case split the cxfjmx and the cameljmx in two separate saples located directly under the examples directory for the cxf sample use the usual pattern for components in other samples _acceptance criteria_ po is able to execute the demos following the instructions in the readme,3,talendesb
